統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
表プロセスグループＩＤ|おもてプロセスグループアイディー|foreground process group ID
表意定数|ひょういていすう|figurative constant
表記体系|ひょうきたいけい|notation; system of notation
表記方向|ひょうきほうこう|writing mode
表記法の許容性|ひょうきほうのきょようせい|hospitality of notation
表記法の展開性|ひょうきほうのてんかいせい|hospitality of notation
表計算|ひょうけいさん|spread sheet
表計算アプリケーション|ひょうけいさんアプリケーション|spread sheet application
表計算プログラム|ひょうけいさんプログラム|spreadsheet program
表見出し|ひょうみだし|table heading
表示域|ひょうじいき|viewport
表示印字式計算器|ひょうじいんじしきけいさんき|display and printing calculator
表示画像|ひょうじがぞう|display image; picture
表示器|ひょうじき|display device
表示空間|ひょうじくうかん|display space; operating space
表示更新モード|ひょうじこうしんモード|display update state
表示指定|ひょうじしてい|post
表示指令|ひょうじしれい|display command; display instruction
表示式計算器|ひょうじしきけいさんき|display calculator
表示取消し|ひょうじとりけし|unpost
表示操作卓|ひょうじそうさたく|display console
表示装置|ひょうじそうち|display device; graphics device
表示体裁|ひょうじていさい|presentation style
表示媒体|ひょうじばいたい|presentation medium
表示文字実体集合|ひょうじもじじったいしゅうごう|display character entity set
表示命令|ひょうじめいれい|display command; display instruction
表示面|ひょうじめん|display surface; view surface; presentation surface
表示優先度|ひょうじゆうせんど|display priority
表示様式|ひょうじようしき|graphic rendition
表示様相源フラグ|ひょうじようそうげんフラグ|aspect source flag; ASF
表示要素|ひょうじようそ|display element; graphic primitive; output primitive
表色系|ひょうしょくけい|color system
表面プロット|ひょうめんプロット|surface plot
表面実装技術|ひょうめんじっそうぎじゅつ|Surface Mount Technology
表面実装部品|ひょうめんじっそうぶひん|Surface Mount Device
表要素|ひょうようそ|table element
評価制度|ひょうかせいど|rating system
評価値|ひょうかち|evaluation value
評価報告書|ひょうかほうこくしょ|evaluation report
評定水準|ひょうていすいじゅん|rating level
描き直し|えがきなおし|new frame action
描画パイプライン|びょうがパイプライン|rendering pipeline
描画ヘッド|びょうがヘッド|plotting head
描画色モデル|びょうがいろモデル|rendering colour model
描画像|びょうがぞう|image
品質劣化|ひんしつれっか|quality degradation
頻度分布|ひんどぶんぷ|frequency distribution
不安定状態|ふあんていじょうたい|unstable state; metastable state; quasistable state
不可逆圧縮|ふかぎゃくあっしゅく|lossy compression
不可視フィルタ|ふかしフィルタ|invisibility filter
不確定判定|ふかくていはんてい|inconclusive (verdict)
不活性機能文字|ふかっせいきのうもじ|inert function character
不感帯要素|ふかんたいようそ|dead-zone unit
不揮発性メモリ|ふきはつせいメモリ|nonvolatile memory
不揮発性メモリー|ふきはつせいメモリー|nonvolatile memory
不揮発性記憶装置|ふきはつせいきおくそうち|nonvolatile storage
不正コピー|ふせいコピー|illegal copy
不正文字|ふせいもじ|illegal character
不足データ|ふそくデータ|insufficient data
不定ファイル|ふていファイル|optional file
不定期業務|ふていきぎょうむ|unscheduled task
不定長レコード|ふていちょうレコード|undefined record
不動作時間|ふどうさじかん|dead time
不法コピー|ふほうコピー|illegal copy
不要情報|ふようじょうほう|garbage
不良セクター|ふりょうセクター|bad sector
不良トラック|ふりょうトラック|defective track
付き分岐|つきぶんき|conditional branch
付加サービス|ふかサービス|additional service
付加価値ネットワーク|ふかかちネットワーク|value added network; VAN
付加価値再販業者|ふかかちさいはんぎょうしゃ|Value-Added Reseller; VAR
付加物理表現|ふかぶつりひょうげん|additional physical rendition; PD PR
付加文字|ふかもじ|additional character
付属せず|ふぞくせず|not included
付番|ふばん|rank suffix
付番核|ふばんかく|rank stem
付番群|ふばんぐん|ranked group
付番要素|ふばんようそ|ranked element
敷居値ゲート|しきいちゲート|threshold gate; threshold element
敷居値演算|しきいちえんざん|threshold operation
敷居値関数|しきいちかんすう|threshold function
敷居値素子|しきいちそし|threshold gate; threshold element
普及過程|ふきゅうかてい|diffusion process
普遍分類体系|ふへんぶんるいたいけい|universal classification system; general classification system
浮上高|ふじょうこう|flying height; head gap
浮動ヘッド|ふどうヘッド|floating head
浮動小数点コプロセッサ|ふどうしょうすうてんコプロセッサ|floatingpoint coprocessor
浮動小数点データ|ふどうしょうすうてんデータ|floating point data
浮動小数点レジスタ|ふどうしょうすうてんレジスタ|floating-point register
浮動小数点演算|ふどうしょうすうてんえんざん|floating-point arithmetic
浮動小数点演算アクセラレータ|ふどうしょうすうてんえんざんアクセラレータ|floating-point accelerator
浮動小数点基数|ふどうしょうすうてんきすう|floating-point base; floating-point radix
浮動小数点基底|ふどうしょうすうてんきてい|floating-point base; floating-point radix
浮動小数点相対精度|ふどうしょうすうてんそうたいせいど|floating point precision
浮動小数点代数|ふどうしょうすうてんだいすう|floating point algebra
浮動小数点表示|ふどうしょうすうてんひょうじ|floating-point representation
浮動小数点表示法|ふどうしょうすうてんひょうじほう|floating-point (representation) system
浮動小数点方式|ふどうしょうすうてんほうしき|floating decimal mode
浮動小数点数|ふどうしょうすうてんすう|floating-point number
浮動少数点数|ふどうしょうすうてんすう|floating-point number
符号ビット|ふごうビット|sign bit
符号フラグ|ふごうフラグ|sign flag
符号位置|ふごういち|sign position
符号化１０進|ふごうかじっしん|coded decimal
符号化十進|ふごうかじっしん|coded decimal
符号化１０進法|ふごうかじっしんほう|coded decimal notation
符号化十進法|ふごうかじっしんほう|coded decimal notation
符号化画像|ふごうかがぞう|coded image
符号化形式|ふごうかけいしき|coded form
符号化情報種別|ふごうかじょうほうしゅべつ|Encoded Information Type; EIT
符号化表現|ふごうかひょうげん|coded representation
符号化方式|ふごうかほうしき|encoding method
符号拡張|ふごうかくちょう|code extension
符号間干渉|ふごうかんかんしょう|ISI; intersymbol interference
符号系名|ふごうけいめい|alphabet-name
