飛蝗目|ばったもく|Orthoptera
祝|はふり|Shinto priest; generic title for a member of the Shinto priesthood
祝|ほうり|junior Shinto priest
祝|ほうり|Shinto priest; generic title for a member of the Shinto priesthood
注意を集中する|ちゅういをしゅうちゅうする|to concentrate one's attention; to be engrossed in
消滅時効|しょうめつじこう|extinctive prescription; negative prescription; prescription; statute of limitations
公訴時効|こうそじこう|limitation; prescription of the right to prosecute an accused; statute of limitation
時効期間|じこうきかん|period of prescription; period of statute of limitations
頭紐|あたまひも|head harness; strap
頭ひも|あたまひも|head harness; strap
夜ご飯|よるごはん|dinner; evening meal
夜ごはん|よるごはん|dinner; evening meal
夜御飯|よるごはん|dinner; evening meal
〇×テスト|まるばつテスト|true-false test; yes-no test
○×テスト|まるばつテスト|true-false test; yes-no test
官能性|かんのうせい|functionality
金文|きんぶん|Chinese bronze inscriptions; type of lettering used on metal objects, especially in China during the Yin and Zhou dynasties
使令|しれい|giving orders to someone and making use of him
使令|しれい|servant
蓑亀|みのがめ|old turtle with seaweed growing on its back
ショコラティエ||chocolatier; chocolate maker
負け越す|まけこす|to have more losses than wins
負越す|まけこす|to have more losses than wins
喜怒|きど|joy and anger
喜怒|きど|human emotions
相惚れ|あいぼれ|mutual love
夕霞|ゆうがすみ|evening breeze; evening mist
ショコラショー||hot chocolate
ショコラショウ||hot chocolate
ショコラ・ショー||hot chocolate
ショコラ・ショウ||hot chocolate
辻番|つじばん|town-watches from the Edo period
陣鐘|じんがね|bell or gong used to signal soldiers
陣鉦|じんがね|bell or gong used to signal soldiers
丸まっちい|まるまっちい|plump; chubby
熨斗鮑|のしあわび|thin string of dried abalone (often tied to a gift)
自小作|じこさく|landed and tenant farming; landed farming with some tenant farming on the side
糸道|いとみち|groove in a shamisen player's fingernail caused by the friction of the string of the instrument
糸道|いとみち|someone's ability to play the shamisen
道芝|みちしば|roadside grass; roadside weeds
道芝|みちしば|guidance (sometimes esp. referring to guidance in love); guidepost; guide
道芝|みちしば|Chinese fountain grass (Pennisetum alopecuroides)
ズルチン||dulcin (type of artificial sweetener)
寺子|てらこ|child who attended a temple school
古名|こめい|old name; former name
坂東|ばんどう|Bandō; former name of the Kantō region
御召し替え|おめしかえ|changing one's clothes; a change of clothes
お召し替え|おめしかえ|changing one's clothes; a change of clothes
身体装検器|しんたいそうけんき|type of detector used at airports
力芝|ちからしば|Chinese fountain grass (Pennisetum alopecuroides)
チカラシバ||Chinese fountain grass (Pennisetum alopecuroides)
然知ったり|さしったり|here it comes (interjection used when lying in wait for something)
然知ったり|さしったり|oops!; damn it!
夜の目も寝ない|よのめもねない|staying up all night
夜の目|よのめ|eyes of the night
夜の目|よのめ|eyes asleep; at night
蜀|しょく|Shu (one of the Three Kingdoms competing for control of China after the fall of the Han Dynasty); Shu Han
古代中国|こだいちゅうごく|ancient China
連珠形|れんじゅけい|lemniscate
レムニスケート||lemniscate
アブストラクトゲーム||abstract strategy game
アブストラクト・ゲーム||abstract strategy game
連珠毛|れんじゅもう|monilethrix; moniliform hair; beaded hair
明代|みんだい|Ming dinasty
蜀江の錦|しょっこうのにしき|type of red brocade originally from the ancient Chinese country of Shu and passed on in Japan
蜀江の錦|しょっこうのにしき|type of brocade made in Sichuan during the Ming period
蜀錦|しょっきん|type of brocade
ロジスティック分布|ロジスティックぶんぷ|logistic distribution
目交ぜ|めまぜ|winking
本占地|ほんしめじ|Lyophyllum shimeji (species of edible mushroom)
本湿地|ほんしめじ|Lyophyllum shimeji (species of edible mushroom)
ホンシメジ||Lyophyllum shimeji (species of edible mushroom)
エロ上戸|エロじょうご|horny drunkard
雑魚キャラクター|ざこキャラクター|inconsequential (fictional) character; worthless character; mook
何だっけ|なんだっけ|what is it?
原初元|げんしげん|primitive element (of a finite field)
グルテンミール||gluten meal
グルテン・ミール||gluten meal
友つ人|ともつひと|friend; comrade; companion
友子|ともこ|friend; comrade; companion
フリース転移|フリースてんい|Fries rearrangement
擁護者|ようごしゃ|advocate; defender; champion; backer
アミカスキュリエ||amicus curiae; friend of the court
アミカスキューリー||amicus curiae; friend of the court
アミカスキュリィ||amicus curiae; friend of the court
アミカス・キュリエ||amicus curiae; friend of the court
アミカス・キューリー||amicus curiae; friend of the court
アミカス・キュリィ||amicus curiae; friend of the court
者ども|ものども|you
者ども|ものども|people
者共|ものども|you
者共|ものども|people
土壺|どつぼ|very bad condition; awful state; terrible situation; in the shit
土壺|どつぼ|night-soil reservoir dug in a field
土壺|どつぼ|night-soil pot
土壺|どつぼ|earthenware vessel; earthen urn
ど壺|どつぼ|very bad condition; awful state; terrible situation; in the shit
ど壺|どつぼ|night-soil reservoir dug in a field
ど壺|どつぼ|night-soil pot
ど壺|どつぼ|earthenware vessel; earthen urn
ドツボ||very bad condition; awful state; terrible situation; in the shit
ドツボ||night-soil reservoir dug in a field
ドツボ||night-soil pot
ドツボ||earthenware vessel; earthen urn
善友|ぜんゆう|good friend
三益友|さんえきゆう|three kinds of beneficial friends: straightforward, sincere, and well-informed ones (Confucius)
三損友|さんそんゆう|three kinds of harmful friends: hypocritical, sycophantic, and glib-talking ones (Confucius)
アラールキル||aralkyl
本来から言えば|ほんらいからいえば|by all rights; legally speaking; properly speaking
本来であれば|ほんらいであれば|by all rights; legally speaking; properly speaking
爆縮|ばくしゅく|implosion
緩増加超関数|かんぞうかちょうかんすう|tempered distribution
スタンバる||to stand by; to be on standby
目がとまる|めがとまる|to have one's eye caught on something; to have one's attention drawn to something
目が留まる|めがとまる|to have one's eye caught on something; to have one's attention drawn to something
道走|みちばしり|roadrunner
ミチバシリ||roadrunner
小翼羽|しょうよくう|alula; bastard wing
こっきり||just (applies to set number of items, instances, etc.)
柊菜|ひいらぎな|mizuna (Brassica rapa var. nipposinica)
内破|ないは|implosion
旅信|りょしん|message from someone on a journey
旅信|たびだより|message from someone on a journey
有要|ゆうよう|matter (thing, concept) of high (vital, extreme) importance
・|なかぽつ|middle dot (typographical symbol used between parallel terms, names in katakana, etc.); full-stop mark at mid-character height; interpoint (interword separation)
・|なかポツ|middle dot (typographical symbol used between parallel terms, names in katakana, etc.); full-stop mark at mid-character height; interpoint (interword separation)
中ぽつ|なかぽつ|middle dot (typographical symbol used between parallel terms, names in katakana, etc.); full-stop mark at mid-character height; interpoint (interword separation)
中ポツ|なかポツ|middle dot (typographical symbol used between parallel terms, names in katakana, etc.); full-stop mark at mid-character height; interpoint (interword separation)
林家|りんか|family working in the forest industry; forestry family
陶片|とうへん|potsherd; shard; fragment of pottery
仏牙|ぶつげ|tooth of Buddha recovered from his cremated ashes
お誕生おめでとうございます|おたんじょうおめでとうございます|congratulations on the birth of your baby
米麹|こめこうじ|rice-malt; malted rice
強姦魔|ごうかんま|rapist
作用角|さよかく|working angle; angle of action
作用角|さよかく|(camshaft) duration
リスク資産|リスクしさん|risk asset; risk assets
陶片追放|とうへんついほう|ostracism
築後|ちくご|after construction; after building; since construction
何日か|なんにちか|some days; several days
クックッ||chuckle; stifled laughter; giggle
クックッ||cluck; coo (bird call)
ＴＧＶ|テジェヴェ|TGV; high-speed train
星寿|せいじゅ|90th birthday
トラックトレーラー||truck trailer; semi truck; tractor trailer
トラック・トレーラー||truck trailer; semi truck; tractor trailer
非処女|ひしょじょ|non-virgin woman; woman with sexual experience
雌珍々|めちんちん|vulva (child)
いく日か|いくにちか|some days; several days
幾日か|いくにちか|some days; several days
築浅|ちくあさ|relatively new (esp. a building)
脱官僚|だつかんりょう|debureaucratization; curtailing the power of the bureaucracy
派遣切り|はけんきり|downsizing by laying off part-time and temp. workers
湧泉|ゆうせん|bubbling spring; gushing spring; fountain
涌泉|ゆうせん|bubbling spring; gushing spring; fountain
歴女|れきじょ|young woman strongly interested in pre-Edo history; young woman making use of speech and mannerisms of pre-industrial Japan; female history buff
現病歴|げんびょうれき|history of present illness
がね||(positive sentence end) I dare say; (negative sentence end) though, honestly
かぴかぴ||crusty; flaky; dried out
カピカピ||crusty; flaky; dried out
やん||suffix for familiar person
やん||indicates emphasis
やん||prostitute
女陰|じょいん|female genitals; vulva
女陰|にょいん|female genitals; vulva
猫草|ねこくさ|cat grass (often Avena sativa); catgrass
ネコクサ||cat grass (often Avena sativa); catgrass
止血鉗子|しけつかんし|artery forceps; hemostatic forceps
