王妃|おうひ|queen
下端|かたん|lower end; bottom edge
下男|げなん|manservant
下値|したね|lowest price
下地|したじ|groundwork; foundation
下地|したじ|inclination; aptitude; elementary knowledge (of); grounding (in)
下地|したじ|undercoat; first coat
下地|したじ|soy sauce
下着|したぎ|underwear
下町|したまち|low-lying part of a city (usu. containing shops, factories, etc.)
下町|したまち|Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds)
下町風|したまちふう|downtown style
下膨れ|しもぶくれ|round-faced
下膨れ|しもぶくれ|bulging at the bottom; swelling toward the bottom
下ぶくれ|しもぶくれ|round-faced
下ぶくれ|しもぶくれ|bulging at the bottom; swelling toward the bottom
下脹れ|しもぶくれ|round-faced
下脹れ|しもぶくれ|bulging at the bottom; swelling toward the bottom
下調べ|したしらべ|preliminary investigation; preparation
下剃り|したぞり|barber's apprentice
下殿|げでん|leaving the palace
下田|げでん|worn-out rice land
下塗り|したぬり|undercoat; first coating
下湯|しもゆ|sitz bath; sitting bath; bath for the lower half of the body
下湯|しもゆ|lower pool (e.g. in an onsen); lower bath
下等|かとう|inferior; base; vulgar; low grade; lower class
下等植物|かとうしょくぶつ|lower plants
下等動物|かとうどうぶつ|lower animals
下働き|したばたらき|subordinate work; assistant; servant
下道|したみち|down-town; the lower town
下道|したみち|minor road
下読み|したよみ|preparatory reading; lesson study; rehearsal (of play)
下読|したよみ|preparatory reading; lesson study; rehearsal (of play)
下馴し|したならし|training
下熱|げねつ|being lowered (of a fever)
下馬|げば|dismounting
下馬先|げばさき|dismounting place
下馬評|げばひょう|rumor; rumour; gossip; speculation; irresponsible criticism; hearsay
下半|かはん|lower half
下番|かばん|going off duty
下卑|げび|vulgar; coarse
下卑る|げびる|to become vulgar; to coarsen
下肥|しもごえ|manure; night soil
下紐|したひも|undersash; belt
下表|かひょう|diagram below
下表参照|かひょうさんしょう|(see the) following table or tables
下品|げひん|vulgar; indecent; coarse; crude
下付|かふ|grant; issue
下付金|かふきん|subsidy
下敷き|したじき|desk pad; sheet of plastic (or cardboard, felt, etc.) placed under writing paper; underlay
下敷き|したじき|being pinned under; being caught under; being trapped under; being buried under; being crushed beneath
下敷き|したじき|model; pattern
下敷|したじき|desk pad; sheet of plastic (or cardboard, felt, etc.) placed under writing paper; underlay
下敷|したじき|being pinned under; being caught under; being trapped under; being buried under; being crushed beneath
下敷|したじき|model; pattern
下部|かぶ|lower part; substructure
下部|かぶ|subordinate (office); good and faithful servant
下部機関|かぶきかん|subordinate offices or institutions
下風|かふう|subordinate position; lower position
下腹|かふく|abdomen; stomach; lower parts; under parts
下腹|したはら|abdomen; stomach; lower parts; under parts
下腹|したばら|abdomen; stomach; lower parts; under parts
下り腹|くだりばら|diarrhoea; diarrhea; loose bowels
下腹|くだりばら|diarrhoea; diarrhea; loose bowels
瀉腹|くだりばら|diarrhoea; diarrhea; loose bowels
下腹部|かふくぶ|abdomen
下物|かぶつ|drinking feast
下聞|かぶん|enquiring beforehand; inquiring beforehand
下聞き|したぎき|enquiring beforehand; inquiring beforehand
下放|かほう|movements for sending young people to the countryside in China (1937, 1957, 1968)
下放れ|したばなれ|(stock market) slump
下放れ|したっぱなれ|(stock market) slump
下っ放れ|したっぱなれ|(stock market) slump
下方|かほう|lower region; lower part
下方に|かほうに|below
下縫い|したぬい|basting; temporary sewing
下僕|げぼく|manservant
下名|かめい|undermentioned; undersigned
下命|かめい|order; command
下目|しため|downward glance; contemptuous look
下問|かもん|enquiry; inquiry; consultation
下野|げや|retirement from public office
下野|げや|going into opposition; losing power
下役|したやく|underling; subordinate official
下薬|げやく|laxative
下様|しもざま|lower classes; common people
下落|げらく|depreciation; decline; fall; slump
下吏|かり|lower official
下履き|したばき|outdoor shoes
下履|したばき|outdoor shoes
下痢|げり|diarrhoea; diarrhea
下略|げりゃく|remaining text omitted (in quotation)
下略|かりゃく|remaining text omitted (in quotation)
下流|かりゅう|downstream; lower reaches of a river
下流|かりゅう|lower classes
下流社会|かりゅうしゃかい|lower classes
下僚|かりょう|subordinates; petty officials
下劣|げれつ|base; mean; vulgar; despicable; low
下露|したつゆ|dew under (dripping from) trees
下郎|げろう|servant; valet; menial
下婢|かひ|servant girl
下ごしらえ|したごしらえ|preliminary arrangements; preparation; spadework; pre-cooking
下拵え|したごしらえ|preliminary arrangements; preparation; spadework; pre-cooking
下疳|げかん|chancre
下瞰|かかん|looking down on; getting a bird's-eye view
下まぶた|したまぶた|lower eyelid
下瞼|したまぶた|lower eyelid
下萠|したもえ|sprouts; shoots
化けの皮|ばけのかわ|masking one's true character; disguise; sheep's clothing
化の皮|ばけのかわ|masking one's true character; disguise; sheep's clothing
化けの皮を剥ぐ|ばけのかわをはぐ|to unmask (someone's true nature)
化けの皮をはぐ|ばけのかわをはぐ|to unmask (someone's true nature)
化ける|ばける|to take the form of (esp. in ref. to a spirit, fox, raccoon dog, etc.); to assume the shape of; to turn oneself into; to transform oneself into
化ける|ばける|to disguise oneself as
化ける|ばける|to change radically; to metamorphose
化ける|ばける|to improve unexpectedly and dramatically (esp. of an actor, artist, rikishi, etc.)
化けチェック|ばけチェック|parity check (data, memory, etc.)
化する|かする|to change into; to convert into; to transform; to be reduced; to influence; to improve (someone)
化育|かいく|creation of the world; evolution
化学|かがく|chemistry
化学|かがく|chemical company (e.g. Acme Chemical Co.)
化学|ばけがく|chemistry
化学記号|かがくきごう|chemical symbols (for the elements)
化学吸着|かがくきゅうちゃく|chemisorb
化学工学|かがくこうがく|chemical engineering
化学工業|かがくこうぎょう|chemical industry
化学剤|かがくざい|chemical agent
化学試験|かがくしけん|chemical test
化学式|かがくしき|chemical formula
化学者|かがくしゃ|chemist
化学上|かがくじょう|from the chemical point of view
化学製品|かがくせいひん|chemical
化学戦|かがくせん|chemical warfare
化学線|かがくせん|actinic rays
化学繊維|かがくせんい|synthetic fibers; synthetic fibres
化学的|かがくてき|chemical
化学反応|かがくはんのう|chemical reaction
化学反応|かがくはんのう|generation of an unexpected result from combining things
化学肥料|かがくひりょう|chemical fertilizer; chemical fertiliser
化学品|かがくひん|chemicals
化学兵器|かがくへいき|chemical weapon
化学兵器禁止条約|かがくへいききんしじょうやく|chemical weapons ban treaty
化学変化|かがくへんか|chemical change
化学療法|かがくりょうほう|chemotherapy
化合|かごう|chemical combination
化合物|かごうぶつ|compound
化骨|かこつ|ossification
化粧下|けしょうした|make-up base
化粧室|けしょうしつ|toilet; lavatory; powder room
化粧石鹸|けしょうせっけん|toilet soap
化粧代|けしょうだい|lady's pin money; cosmetics expense
化粧台|けしょうだい|dressing table; dresser
化粧着|けしょうぎ|dressing gown
化粧張り|けしょうばり|veneer
化粧殿|けわいでん|dressing room
化粧道具|けしょうどうぐ|toilet set
化粧箱|けしょうばこ|vanity case; cosmetics case
化粧品|けしょうひん|cosmetics; toilet articles
化粧部屋|けしょうべや|lavatory; dressing room
化粧料|けしょうりょう|lady's pin money (pocket money); payment to a cosmetician
化粧料|けしょうりょう|cosmetic material
化粧料|けしょうりょう|dowry (Edo period)
化粧料|けわいりょう|dowry (Edo period)
化粧煉瓦|けしょうれんが|ornamental tile; facing bricks
化身|けしん|incarnation; impersonation; personification; avatar
化成|かせい|change; transformation
化成工業|かせいこうぎょう|chemical industry
化成肥料|かせいひりょう|chemical fertilizer; chemical fertiliser
化生|かせい|growth; metamorphosis
化生|けしょう|goblin
化石|かせき|fossil
化石|かせき|petrifaction; petrification; fossilization; fossilisation
化石学|かせきがく|paleontology
化石層|かせきそう|fossil bed
化石燃料|かせきねんりょう|fossil fuel
化繊|かせん|synthetic fibres; synthetic fibers
化纎|かせん|synthetic fibres; synthetic fibers
化膿|かのう|suppuration; festering; coming to head
化膿菌|かのうきん|pyogenic bacteria; pus-producing bacteria
仮|け|lacking substance and existing in name only; something without substance
仮|かり|temporary; provisional; interim
仮|かり|fictitious; assumed (name); alias
仮|かり|hypothetical; theoretical
仮り|かり|temporary; provisional; interim
仮り|かり|fictitious; assumed (name); alias
仮り|かり|hypothetical; theoretical
仮に|かりに|temporarily; provisionally; for the time being
仮に|かりに|supposing; for argument's sake
仮にも|かりにも|even for an instant; even as a joke
仮の宿り|かりのやどり|temporary dwelling; this transient world
仮の世|かりのよ|this transient world
仮の命|かりのいのち|this transient life
仮屋|かりや|temporary residence or shelter
仮家|かりいえ|temporary house
仮勘定|かりかんじょう|suspense account
仮記入|かりきにゅう|suspense account
仮議長|かりぎちょう|acting chairman; acting president
仮宮|かりみや|temporary shrine
仮橋|かりばし|temporary bridge
仮寓|かぐう|temporary residence
仮決|かけつ|conditional approval
仮言|かげん|hypothesis
仮差押え|かりさしおさえ|provisional seizure; provisional attachment; provisional garnishment
仮差し押さえ|かりさしおさえ|provisional seizure; provisional attachment; provisional garnishment
仮差し押え|かりさしおさえ|provisional seizure; provisional attachment; provisional garnishment
仮差押|かりさしおさえ|provisional seizure; provisional attachment; provisional garnishment
仮刷り|かりずり|proof printing
仮死|かし|asphyxiation; apparent death
仮歯|かし|false tooth
仮漆|かしつ|varnish
仮借|かしゃく|pardon; extenuation; excuse
仮借|かしゃく|borrowing
仮借|かしゃく|borrowing a kanji with the same pronunciation to write a similar-sounding word
仮借|かしゃ|borrowing a kanji with the same pronunciation to write a similar-sounding word
