尾根|おね|(mountain) ridge; spur
描き文字|かきもじ|drawn lettering; sound effects lettering
描画|びょうが|drawing; painting
描写|びょうしゃ|depiction; description; portrayal
描出|びょうしゅつ|description; rendition
病|やまい|illness; disease
病|やまい|bad habit; weakness; fault
病み上がり|やみあがり|convalescence
病みつき|やみつき|being addicted to; being wholly absorbed by
病みつき|やみつき|falling ill; becoming sick
病み付き|やみつき|being addicted to; being wholly absorbed by
病み付き|やみつき|falling ill; becoming sick
病み付く|やみつく|to be taken ill; to be addicted to; to become absorbed in; to give oneself up (to)
病みつく|やみつく|to be taken ill; to be addicted to; to become absorbed in; to give oneself up (to)
病む|やむ|to fall ill; to suffer from; to have something wrong with
病院|びょういん|hospital
病気|びょうき|illness; disease; sickness
病気の流行|びょうきのりゅうこう|epidemic
病菌|びょうきん|virus; germ
病苦|びょうく|pain of sickness
病原|びょうげん|origin of an illness; cause of a disease; pathogenesis; etiology
病源|びょうげん|origin of an illness; cause of a disease; pathogenesis; etiology
病原菌|びょうげんきん|virus; germ; pathogen
病源菌|びょうげんきん|virus; germ; pathogen
病後|びょうご|convalescence
病死|びょうし|death from disease; death from illness
病室|びょうしつ|sickroom; hospital room
病弱|びょうじゃく|weak (constitution); sickly; feeble; in poor health
病床|びょうしょう|sickbed
病症|びょうしょう|nature of a disease
病状|びょうじょう|patient's condition; pathology
病人|びょうにん|sick person; patient; invalid
病巣|びょうそう|focus; nidus; lesion
病徴|びょうちょう|symptom
病的|びょうてき|abnormal
病棟|びょうとう|(hospital) ward
病名|びょうめい|name of a disease
病理学|びょうりがく|pathology
秒|びょう|second (unit of time)
秒針|びょうしん|second hand (of clock)
秒速|びょうそく|per second
秒読み|びょうよみ|countdown
苗|なえ|seedling; young plant
苗|なえ|rice seedling
苗床|なえどこ|nursery; seedbed; seed-plot
苗代|なわしろ|rice nursery; bed for rice seedlings
苗代|なえしろ|rice nursery; bed for rice seedlings
苗木|なえぎ|seedling; sapling; young tree
蛭|ひる|leech
ヒル||leech
鰭|ひれ|fin (e.g. of a fish)
鰭|はた|fin (e.g. of a fish)
鰭脚類|ききゃくるい|pinnipeds (seals and walruses)
鰭脚類|ひれあしるい|pinnipeds (seals and walruses)
品プリ|しなプリ|Shinagawa Prince Hotel
品格|ひんかく|dignity; quality; grace; panache; level
品詞|ひんし|part of speech
品質|ひんしつ|(material) quality
品質管理|ひんしつかんり|quality control
品質保持期限|ひんしつほじきげん|freshness assured through this date
品質保証|ひんしつほしょう|quality assurance; QA
品種|ひんしゅ|kind (of goods); brand
品種|ひんしゅ|(taxonomical) form
品種|ひんしゅ|breed; cultivar
品性|ひんせい|character
品切れ|しなぎれ|out of stock; sold out
品揃え|しなぞろえ|assortment; product lineup
品ぞろえ|しなぞろえ|assortment; product lineup
品薄|しなうす|shortage of stock; scarcity of goods
品物|しなもの|goods; article; thing
品物が納まった|しなものがおさまった|commodities have been delivered
品名|ひんめい|name of product
品目|ひんもく|item; commodity; list of articles
品目|しなめ|item; commodity; list of articles
浜|はま|beach; seashore
浜|はま|captured pieces (in the game of go); captured stones
浜|はま|Yokohama
浜|はま|riverbank; riverside
ハマ||beach; seashore
ハマ||captured pieces (in the game of go); captured stones
ハマ||Yokohama
ハマ||riverbank; riverside
浜辺|はまべ|beach; foreshore
浜べ|はまべ|beach; foreshore
瀕死|ひんし|dying; (on the) verge of death
ひん死|ひんし|dying; (on the) verge of death
頻死|ひんし|dying; (on the) verge of death
貧しい|まずしい|poor; needy
貧しい|まずしい|lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate
貧家|ひんか|poor home
貧寒|ひんかん|destitution
貧窮|ひんきゅう|great poverty
貧窮化|ひんきゅうか|impoverishment
貧苦|ひんく|hardship; serious poverty
貧血|ひんけつ|anemia; anaemia
貧血症|ひんけつしょう|anemia; anaemia
貧鉱|ひんこう|low-grade ore
貧困|ひんこん|poor; needy
貧困|ひんこん|lacking; meagre; meager
貧者|ひんじゃ|poor person
貧弱|ひんじゃく|poor; meagre; meager; insubstantial
貧相|ひんそう|seedy-looking; thin
貧土|ひんど|poor soil; poor country
貧農|ひんのう|poor farmer; needy peasant
貧富|ひんぷ|wealth and poverty; rich and poor
貧乏|びんぼう|poverty; destitute; poor
貧之|びんぼう|poverty; destitute; poor
貧乏所帯|びんぼうじょたい|poor household
貧乏神|びんぼうがみ|god of poverty
貧乏人|びんぼうにん|poor person; pauper; the poor; the indigent
貧乏性|びんぼうしょう|destined to poverty; parsimonious spirit; tendency to be frugal; poor person's mentality (e.g. inability to relax)
貧乏揺すり|びんぼうゆすり|shaking or tapping (usu. one's foot) unconsciously; fidgeting (esp. of the legs)
貧乏ゆすり|びんぼうゆすり|shaking or tapping (usu. one's foot) unconsciously; fidgeting (esp. of the legs)
貧乏揺るぎ|びんぼうゆるぎ|nervous mannerism
貧乏くじ|びんぼうくじ|short end of the stick; short straw; unlucky number; blank; bad bargain
貧乏籤|びんぼうくじ|short end of the stick; short straw; unlucky number; blank; bad bargain
貧乏鬮|びんぼうくじ|short end of the stick; short straw; unlucky number; blank; bad bargain
貧民|ひんみん|poor people
貧民街|ひんみんがい|slums
貧民窟|ひんみんくつ|slums
頻出|ひんしゅつ|common; frequent
頻度|ひんど|frequency (of occurrence)
頻発|ひんぱつ|frequent occurrence
頻繁|ひんぱん|frequent; incessant
敏活|びんかつ|quickness; alacrity
敏感|びんかん|sensitive; alert; aware; susceptible
敏捷|びんしょう|nimble; prompt; agile; quick; shrewd; smart
敏速|びんそく|quickness; agility; activity
敏腕|びんわん|ability; capability; competence; skill
甕|かめ|earthenware pot
瓶|かめ|earthenware pot
瓶|びん|bottle; jar; decanter; flagon; phial; vial
壜|びん|bottle; jar; decanter; flagon; phial; vial
罎|びん|bottle; jar; decanter; flagon; phial; vial
ビン||bottle; jar; decanter; flagon; phial; vial
瓶詰め|びんづめ|bottling; bottled
瓶詰|びんづめ|bottling; bottled
壜詰め|びんづめ|bottling; bottled
壜詰|びんづめ|bottling; bottled
不安|ふあん|anxiety; uneasiness; insecurity; suspense
不安の種|ふあんのたね|reason for concern
不安げ|ふあんげ|uneasy
不安気|ふあんげ|uneasy
不安心|ふあんしん|uneasiness; uncertainty; anxiety; apprehension; restlessness; insecurity; suspense; fear
不安定|ふあんてい|instability; insecurity; crankiness
不案内|ふあんない|ignorance; inexperience; unfamiliarity
不意|ふい|sudden; abrupt; unexpected; unforeseen
不意気|ぶいき|vulgarity; lack of refinement
不意試験|ふいしけん|surprise examination
不易|ふえき|constancy; immutable
不為|ふため|disadvantageous; harmful; unprofitable
不一|ふいつ|Very sincerely yours
不一|ふいつ|different
不一|ふいち|Very sincerely yours
不一|ふいち|different
不乙|ふいつ|Very sincerely yours
不乙|ふいつ|different
不乙|ふいち|Very sincerely yours
不乙|ふいち|different
不一致|ふいっち|discrepancy; discord; disagreement; mismatch; dissonance
不印|ふじるし|poor results
不運|ふうん|misfortune; bad luck; ill luck; ill fortune; bad break; tough luck; mischance
不衛生|ふえいせい|unsanitary condition; lack of hygienic care; inattention to hygiene; unhygienic conditions
不縁|ふえん|divorce; unrealized marriage (prospects); unrealised marriage
不穏|ふおん|disquieting; threatening; turbulent; restless; unsettled; disturbing
不穏当|ふおんとう|impropriety; inappropriateness; unfairness; unreasonableness
不穏分子|ふおんぶんし|disturbing elements
不穏文書|ふおんぶんしょ|inflammatory pamphlets
不可|ふか|wrong; bad; improper; unjustifiable; inadvisable
不可|ふか|not allowed; not possible
不可|ふか|failing grade
不可解|ふかかい|mystery; baffling; inexplicable; incomprehensible
不可逆|ふかぎゃく|irreversible
不可欠|ふかけつ|indispensable; essential
不可誤|ふかご|(papal) infallibility
不可抗力|ふかこうりょく|act of God; irresistible force; inevitability
不可抗力|ふかこうりょく|force majeure; vis major
不可思議|ふかしぎ|mystery; something inexplicable; wonder; miracle
不可思議|ふかしぎ|unfathomable (of a Buddha's abilities)
不可思議|ふかしぎ|10^64 (or 10^80)
不可視|ふかし|invisibility
不可視光線|ふかしこうせん|invisible ray
不可侵|ふかしん|inviolability; sacredness; nonaggression
不可侵条約|ふかしんじょうやく|non-aggression pact; non-aggression treaty
不可知|ふかち|unknowable; mysterious
不可知的|ふかちてき|agnostic
不可知論|ふかちろん|agnosticism
不可入性|ふかにゅうせい|impenetrability
不可能|ふかのう|impossible
不可能選択|ふかのうせんたく|unavailable choice
不可避|ふかひ|inevitable; inescapable; unavoidable
不可分|ふかぶん|atomic; indivisibility
不介入|ふかいにゅう|noninvolvement; nonintervention; neutrality
不快|ふかい|displeasure; discomfort; unpleasantness
不快|ふかい|indisposition; ailment
不拡大|ふかくだい|nonexpansion; localization; localisation; nonaggravation
不格好|ぶかっこう|unshapely; ill-formed; misshapen
不格好|ぶかっこう|awkward; clumsy
不格好|ふかっこう|unshapely; ill-formed; misshapen
不格好|ふかっこう|awkward; clumsy
不恰好|ぶかっこう|unshapely; ill-formed; misshapen
不恰好|ぶかっこう|awkward; clumsy
不恰好|ふかっこう|unshapely; ill-formed; misshapen
不恰好|ふかっこう|awkward; clumsy
無格好|ぶかっこう|unshapely; ill-formed; misshapen
無格好|ぶかっこう|awkward; clumsy
不確か|ふたしか|unreliable; uncertain; indefinite; unclear
不確実|ふかくじつ|uncertain; unreliable; inauthentic; acataleptic
不覚|ふかく|failure; defeat; mistake; blunder; negligence; indiscretion
不覚|ふかく|unconsciousness
不覚の一投|ふかくのいっとう|pitcher's misjudgment (misjudgement)
不覚の涙|ふかくのなみだ|crying in spite of oneself
不覚者|ふかくもの|shallow thinker; indecisive person
不活化|ふかつか|inactivity
不活性|ふかっせい|inert
不活性ガス|ふかっせいガス|inert gas
不活動|ふかつどう|inaction; lethargy
不完全|ふかんぜん|imperfect; incomplete; faulty; defective
不寛容|ふかんよう|intolerance
不干渉|ふかんしょう|abstention; nonintervention; noninterference
不感症|ふかんしょう|sexual frigidity
不感症|ふかんしょう|insensitivity; indifference
不慣れ|ふなれ|inexperienced; unfamiliar (with); unversed; lacking experience
不慣|ふなれ|inexperienced; unfamiliar (with); unversed; lacking experience
不馴れ|ふなれ|inexperienced; unfamiliar (with); unversed; lacking experience
不馴|ふなれ|inexperienced; unfamiliar (with); unversed; lacking experience
不換紙幣|ふかんしへい|unconvertible paper money; fiat money
不間|ぶま|clumsiness; stupidity; blunder
不器|ふき|clumsiness; unskillfulness
不器用|ぶきよう|clumsy; awkward; unskillfulness; lack of ability
不器用|ぶきよう|tactless; awkward (e.g. socially); gauche
不器用|ぶきよう|mean; cowardly; base
無器用|ぶきよう|clumsy; awkward; unskillfulness; lack of ability
無器用|ぶきよう|tactless; awkward (e.g. socially); gauche
無器用|ぶきよう|mean; cowardly; base
不揮発性|ふきはつせい|non-volatility
不期|ふき|unexpected; accidental
不機嫌|ふきげん|pout; displeasure; ill humor; ill humour; sullenness
