上右|うえみぎ|upper right (corner)
さ||(sentence end, mainly masc.) indicates assertion
さ||come; come now
ぞ||(sentence end) adds force; indicates command
ぜ||(sentence end) adds force; indicates command
バーコード頭|バーコードあたま|someone with hair combed in stripes across their bald spot
自宅謹慎|じたくきんしん|confinement to one's home; being made to stay at home
鱶鰭|ふかひれ|shark fin
フカヒレ||shark fin
サメヒレ||shark fin
ごろりと横になる|ごろりとよこになる|to throw oneself down; to lie down
ごろっと||slumping; flopping down
ごろっと||heavily rotating
ごろりと||slumping; flopping down
ごろりと||heavily rotating
あくを取る|あくをとる|to skim the scum from broth or liquid; to skim (a liquid)
灰汁を取る|あくをとる|to skim the scum from broth or liquid; to skim (a liquid)
不可算名詞|ふかさんめいし|uncountable noun
痺れを切らす|しびれをきらす|to get tired of waiting; to grow impatient
しびれを切らす|しびれをきらす|to get tired of waiting; to grow impatient
痺れをきらす|しびれをきらす|to get tired of waiting; to grow impatient
貴信|きしん|letter, etc. from another party; correspondence
付貴信|づけきしん|your letter, fax, etc. dated ...
とぎまぎ||confusion; bewilderment; embarrassment
身を引く|みをひく|to resign; to abandon; to step aside; to back out of; to retire; to get away; to lean back; to back away; to pull back
共依存|きょういぞん|codependence
結婚手当|けっこんてあて|marriage allowance
出産手当|しゅっさんてあて|maternity allowance; childbirth allowance
出産手当て|しゅっさんてあて|maternity allowance; childbirth allowance
通勤手当|つうきんてあて|travel allowance; commuting allowance
輸入量|ゆにゅうりょう|import volume
因りけり|よりけり|depends on
ラムレーズン||rum raisin; raisins marinated in rum
ラム・レーズン||rum raisin; raisins marinated in rum
粗塩|あらじお|coarse salt; unrefined salt
粗塩|あらしお|coarse salt; unrefined salt
あら塩|あらじお|coarse salt; unrefined salt
あら塩|あらしお|coarse salt; unrefined salt
荒塩|あらじお|coarse salt; unrefined salt
荒塩|あらしお|coarse salt; unrefined salt
胸を張る|むねをはる|to throw out one's chest; to be puffed up with pride
胸をはる|むねをはる|to throw out one's chest; to be puffed up with pride
寛衣|かんい|loose clothes; comfortable clothes
姪御|めいご|(another person's) niece
甥御|おいご|(another person's) nephew
靴箱|くつばこ|shoe box; shoe shelf
くつ箱|くつばこ|shoe box; shoe shelf
靴ばこ|くつばこ|shoe box; shoe shelf
外端|がいたん|outer edge; outer end
切りすぎる|きりすぎる|to overcut
切り過ぎる|きりすぎる|to overcut
良くなる|よくなる|to become better; to improve
ハヤシ||hash (e.g. hashed meat)
ハヤシ||hash (function)
ごみ屋|ごみや|ragman; garbage man; garbage collector
塵屋|ごみや|ragman; garbage man; garbage collector
扱く|こく|to thresh; to strip
指定詞|していし|copula
水漉し|みずこし|water filter; strainer; colander
水こし|みずこし|water filter; strainer; colander
水濾し|みずこし|water filter; strainer; colander
水濾|みずこし|water filter; strainer; colander
こし器|こしき|filter; strainer; colander
漉し器|こしき|filter; strainer; colander
打ち棒|うちぼう|rolling pin
打ち棒|うちぼう|slapstick (comedy)
打棒|うちぼう|rolling pin
打棒|うちぼう|slapstick (comedy)
螯|はさみ|pincers (crab, scorpion, etc.); claws; forceps
音姫|おとひめ|melody or flushing sound played by a Japanese toilet to mask excretion sounds
導波路|どうはろ|waveguide (usually optical)
導光板|どうこうばん|light guide; light-guiding plate; LGP; light-guiding panel
溶連菌感染症|ようれんきんかんせんしょう|hemolytic streptococcal infection (haemolytic)
目論見書|もくろみしょ|prospectus; offering memorandum
手取金|てどりきん|net proceeds (e.g. after an offering of securities)
手取り金|てどりきん|net proceeds (e.g. after an offering of securities)
手巾|しゅきん|(hand) towel
手巾|しゅきん|handkerchief
電子線|でんしせん|electron beam; electron ray
対物レンズ|たいぶつレンズ|objective lens
薄味|うすあじ|bland; mild-tasting; lightly seasoned; insipid
ド||doh; do; 1st note in the tonic solfa representation of the diatonic scale
レ||re; 2nd note in the tonic solfa representation of the diatonic scale
レ||le; the
ミ||mi; 3rd note in the tonic solfa representation of the diatonic scale
ファ||fa; fah; 4th note in the tonic solfa representation of the diatonic scale
ソ||soh; so; 5th note in the tonic solfa representation of the diatonic scale
ラ||la; 6th note in the tonic solfa representation of the diatonic scale
シ||ti; si; 7th note in the tonic solfa representation of the diatonic scale
チ||ti; si; 7th note in the tonic solfa representation of the diatonic scale
イ||1st in a sequence denoted by the iroha system; 1st note in the diatonic scale (used in key names, etc.)
ロ||2nd in a sequence denoted by the iroha system; 2nd note in the diatonic scale (used in key names, etc.)
ハ||third in a sequence denoted by the iroha system; third note in the diatonic scale (used in key names, etc.)
ニ||4th in a sequence denoted by the iroha system; 4th note in the diatonic scale (used in key names, etc.)
ホ||5th in a sequence denoted by the iroha system; 5th note in the diatonic scale (used in key names, etc.)
ヘ||6th in a sequence denoted by the iroha system; 6th note in the diatonic scale (used in key names, etc.)
ト||7th in a sequence denoted by the iroha system; 7th note in the diatonic scale (used in key names, etc.)
お焦げ|おこげ|burnt rice; scorched rice; crispy rice at bottom of cooking pan
お焦げ|おこげ|woman who hangs out with gay men
御焦げ|おこげ|burnt rice; scorched rice; crispy rice at bottom of cooking pan
御焦げ|おこげ|woman who hangs out with gay men
おコゲ||burnt rice; scorched rice; crispy rice at bottom of cooking pan
おコゲ||woman who hangs out with gay men
アイウエオ順|アイウエオじゅん|aiueo-order; order of the kana syllabary
あいうえお順|あいうえおじゅん|aiueo-order; order of the kana syllabary
哀悼痛惜|あいとうつうせき|condolence; mourning; sorrow; lamentation
悪事千里|あくじせんり|bad news traveling fast; ill news spreading like wildfire
絢爛豪華|けんらんごうか|luxurious and gorgeous; splendid; dazzling
暗雲低迷|あんうんていめい|gathering dark clouds; being under the shadow of
以毒制毒|いどくせいどく|using poisonous medication to control poison; fighting evil with evil; fighting fire with fire
意思疎通|いしそつう|(coming to a) mutual understanding; understanding each other
意志疎通|いしそつう|(coming to a) mutual understanding; understanding each other
意匠惨憺|いしょうさんたん|taxing one's ingenuity in devising something; agonizing over designing or creating something; making strenuous efforts to devise good ways and means to do something
易姓革命|えきせいかくめい|revolution (change of dynasty) decreed by Heaven when the incumbent emperor is found lacking in moral virtue (old Chinese political thought)
異端邪説|いたんじゃせつ|heretical doctrine (thought, faith)
衣冠束帯|いかんそくたい|full Japanese court dress of traditional fashion
遺憾千万|いかんせんばん|highly regrettable; utterly deplorable
医食同源|いしょくどうげん|a balanced diet leads to a healthy body; healthy food both prevents and cures sickness
一家眷属|いっかけんぞく|one's family, relations, and followers
一虚一実|いっきょいちじつ|constantly changing phase and being highly unpredictable
一件落着|いっけんらくちゃく|an issue being settled; a case being closed
一人天狗|ひとりてんぐ|self-conceited person; ego-tripper; swelled head
独り天狗|ひとりてんぐ|self-conceited person; ego-tripper; swelled head
一族郎党|いちぞくろうとう|one's family and followers; one's whole clan
一諾千金|いちだくせんきん|one's word is worth 1,000 pieces of gold; a promise should be kept at all cost
一日三秋|いちじつさんしゅう|(waiting) impatiently; (spending) many a weary day; each moment seeming like an eternity
一日三秋|いちにちさんしゅう|(waiting) impatiently; (spending) many a weary day; each moment seeming like an eternity
一罰百戒|いちばつひゃっかい|punishing a crime to make an example for others
一別以来|いちべついらい|since our last meeting; since we parted
一味徒党|いちみととう|whole party to a plot; whole gang; fellow conspirators
一路順風|いちろじゅんぷう|sailing before the wind; everything is going well
一路平安|いちろへいあん|(wishing someone) bon voyage
