卵泡立て器|たまごあわだてき|egg beater
溜まり|たまり|liquid runoff from miso preparation
溜まり|たまり|tamari; variety of rich soy sauce (used for sashimi, etc.)
溜り|たまり|pile; pool; collection
溜り|たまり|gathering spot
溜り|たまり|waiting place for a wrestler beside the ring
溜り|たまり|liquid runoff from miso preparation
溜り|たまり|tamari; variety of rich soy sauce (used for sashimi, etc.)
溜める|ためる|to amass; to accumulate; to store
溜める|ためる|to leave unpaid
溜め込む|ためこむ|to save up; to stockpile; to stash away; to hoard; to amass; to salt away
貯め込む|ためこむ|to save up; to stockpile; to stash away; to hoard; to amass; to salt away
ため込む|ためこむ|to save up; to stockpile; to stash away; to hoard; to amass; to salt away
溜込む|ためこむ|to save up; to stockpile; to stash away; to hoard; to amass; to salt away
溜まる|たまる|to collect; to gather; to save; to accumulate; to pile up
溜る|たまる|to collect; to gather; to save; to accumulate; to pile up
溜池|ためいけ|reservoir; pond
溜め池|ためいけ|reservoir; pond
ため池|ためいけ|reservoir; pond
留め|とめ|(a) stop (e.g. in a timber joint, or at the end of a kanji stroke)
留め|とめ|remaining (e.g. poste-restante)
留め|とめ|forty-five degree angle
止め|とめ|(a) stop (e.g. in a timber joint, or at the end of a kanji stroke)
止め|とめ|remaining (e.g. poste-restante)
留め置く|とめおく|to detain; to keep; to lock up; to retain; to leave (letter) till called for
留置く|とめおく|to detain; to keep; to lock up; to retain; to leave (letter) till called for
留意|りゅうい|heeding; paying attention; bearing in mind
留飲|りゅういん|gloating; satisfaction
留学|りゅうがく|studying abroad (usu. at university level)
留学生|りゅうがくせい|overseas student; exchange student
留守|るす|absence; being away from home
留守|るす|house-sitting; house-sitter
留守|るす|being left unattended to (of one's studies, etc.); neglecting
留主|るす|absence; being away from home
留主|るす|house-sitting; house-sitter
留主|るす|being left unattended to (of one's studies, etc.); neglecting
留守居|るすい|house-sitting; house-sitter
留守居|るすい|caretaker or keeper (official post in the Edo era)
留守中|るすちゅう|during absence from home
留守電|るすでん|answering machine; answerphone
留守番|るすばん|care-taking; house-sitting; house-watching; staying at home
留守番|るすばん|caretaker; house-sitter
留守番電話|るすばんでんわ|answering machine; answer phone
留置|りゅうち|detention (usu. during investigation); imprisonment; poundage; custody
留保|りゅうほ|reserving; withholding
硫黄|いおう|sulfur (S); sulphur
硫黄|ゆおう|sulfur (S); sulphur
硫黄酸化物|いおうさんかぶつ|sulphur oxide; sulfur oxide
硫化処理ゴム|りゅうかしょりゴム|vulcanized rubber; vulcanised rubber
硫化水素|りゅうかすいそ|hydrogen sulphide; hydrogen sulfide; sulphuretted hydrogen; sulfuretted hydrogen
硫酸|りゅうさん|sulfuric acid; sulphuric acid
粒|つぶ|grain; bead; drop
粒|つぶ|counter for small round objects including grains, seeds, pills, drops
粒|つび|grain; bead; drop
粒|つび|counter for small round objects including grains, seeds, pills, drops
粒|つぼ|grain; bead; drop
粒|つぼ|counter for small round objects including grains, seeds, pills, drops
粒々辛苦|りゅうりゅうしんく|toil and moil; working assiduously for; tireless hard work; painstaking labor (labour)
粒粒辛苦|りゅうりゅうしんく|toil and moil; working assiduously for; tireless hard work; painstaking labor (labour)
粒子|りゅうし|particle; grain
粒状|りゅうじょう|granular; granulated
粒状|つぶじょう|granular; granulated
隆起|りゅうき|protuberance; bulge; protrusion; projection; swell
隆起|りゅうき|rise; uplift; upheaval; elevation
隆盛|りゅうせい|prosperity; flourishing; thriving
竜の口|たつのくち|dragon-head gargoyle; gutter spout
竜宮|りゅうぐう|Palace of the Dragon King; palace from the story of Urashima Taro (said to be located at the bottom of the sea)
龍宮|りゅうぐう|Palace of the Dragon King; palace from the story of Urashima Taro (said to be located at the bottom of the sea)
竜骨|りゅうこつ|keel
竜座|りゅうざ|Draco (constellation); the Dragon
りゅう座|りゅうざ|Draco (constellation); the Dragon
竜車|りゅうしゃ|imperial carriage
竜舌蘭|りゅうぜつらん|agave; maguey
竜舌蘭|りゅうぜつらん|American aloe; century plant (Agave americana)
龍舌蘭|りゅうぜつらん|agave; maguey
龍舌蘭|りゅうぜつらん|American aloe; century plant (Agave americana)
リュウゼツラン||agave; maguey
リュウゼツラン||American aloe; century plant (Agave americana)
竜胆|りんどう|gentian (Gentiana scabra var. buergeri); autumn bellflower
竜胆|りゅうたん|gentian (Gentiana scabra var. buergeri); autumn bellflower
リンドウ||gentian (Gentiana scabra var. buergeri); autumn bellflower
竜田姫|たつたひめ|Tatsutahime; goddess of autumn; goddess of fall
竜頭|りゅうず|crown (of a watch); stem
竜頭|りゅうず|cannon (of a bell)
竜頭蛇尾|りゅうとうだび|a strong beginning and a weak ending; an anticlimax
竜攘虎搏|りゅうじょうこはく|fierce fighting
竜舟|りゅうしゅう|dragon boat (long 22-person canoe used for racing)
龍舟|りゅうしゅう|dragon boat (long 22-person canoe used for racing)
竜神|りゅうじん|dragon god; dragon king
竜神|りゅうじん|naga
龍神|りゅうじん|dragon god; dragon king
龍神|りゅうじん|naga
侶伴|りょはん|companion
慮る|おもんぱかる|to consider carefully; to deliberate thoroughly; to think over
慮る|おもんばかる|to consider carefully; to deliberate thoroughly; to think over
慮外|りょがい|unexpected
旅|たび|travel; trip; journey
旅館|りょかん|ryokan; Japanese-style lodging, usu. professionally-run
旅客|りょかく|passenger
旅客|りょかく|traveller; traveler; tourist
旅客|りょきゃく|passenger
旅客|りょきゃく|traveller; traveler; tourist
旅客機|りょかくき|passenger plane
旅客機|りょかっき|passenger plane
旅券|りょけん|passport
旅行|りょこう|travel; trip
旅行者|りょこうしゃ|traveller; traveler
旅行代理店|りょこうだいりてん|travel agent
旅愁|りょしゅう|loneliness on a journey
旅人|たびびと|traveller; traveler; wayfarer; tourist
旅人|りょじん|traveller; traveler; wayfarer; tourist
たび人|たびびと|traveller; traveler; wayfarer; tourist
旅先|たびさき|destination; goal (of travel); place one stays during a journey
旅団|りょだん|brigade
旅程|りょてい|itinerary; travel plans
旅程|りょてい|distance (of a trip); journey
旅費|りょひ|travel expenses
旅立ち|たびだち|setting off (on a trip)
旅立つ|たびだつ|to begin a trip; to depart; to embark
旅立つ|たびだつ|to die; to pass away; to depart this life
旅だつ|たびだつ|to begin a trip; to depart; to embark
旅だつ|たびだつ|to die; to pass away; to depart this life
旅路|たびじ|journey; route of a journey
了|りょう|finish; completion; understanding
諒とする|りょうとする|to acknowledge; to understand; to appreciate
了解|りょうかい|comprehension; consent; understanding; agreement; roger (on the radio)
諒解|りょうかい|comprehension; consent; understanding; agreement; roger (on the radio)
領解|りょうかい|comprehension; consent; understanding; agreement; roger (on the radio)
領会|りょうかい|comprehension; consent; understanding; agreement; roger (on the radio)
了覚|りょうかく|coming to understand
了見|りょうけん|idea; thought; intention; design; inclination; decision; motive
了見|りょうけん|discretion
了見|りょうけん|forgiveness; toleration
料簡|りょうけん|idea; thought; intention; design; inclination; decision; motive
料簡|りょうけん|discretion
料簡|りょうけん|forgiveness; toleration
了簡|りょうけん|idea; thought; intention; design; inclination; decision; motive
了簡|りょうけん|discretion
了簡|りょうけん|forgiveness; toleration
了見違い|りょうけんちがい|wrong idea; delusion; indiscretion; false step; misstep
料簡違い|りょうけんちがい|wrong idea; delusion; indiscretion; false step; misstep
了簡違い|りょうけんちがい|wrong idea; delusion; indiscretion; false step; misstep
了知|りょうち|knowing; understanding; appreciation
僚艦|りょうかん|consort ship
僚機|りょうき|consort plane
僚船|りょうせん|consort ship
僚友|りょうゆう|colleague; workmate; comrade; coworker
両院|りょういん|both Houses of Parliament
両家|りょうけ|both families
両開き|りょうびらき|double (two-leaf) door
両蓋|りょうぶた|hunting-case watch
両蓋時計|りょうぶたどけい|hunting-case watch
両岸|りょうがん|both banks (of a river)
両岸|りょうぎし|both banks (of a river)
両眼|りょうがん|both eyes; binocular
両義|りょうぎ|double meaning; two meanings; amphibolous
両議院|りょうぎいん|both houses of parliament
両脚|りょうきゃく|both legs
両脚|りょうあし|both legs
両脚規|りょうきゃくき|pair of compasses; compass (for drawing circles, etc.)
両脚器|りょうきゃくき|pair of compasses; compass (for drawing circles, etc.)
両極|りょうきょく|both extremities
両極|りょうきょく|North and South Poles
両極|りょうきょく|positive and negative poles
両極端|りょうきょくたん|both extremes
両極地方|りょうきょくちほう|polar areas
両軍|りょうぐん|both armies; both teams
両舷|りょうげん|both sides of a ship
両虎|りょうこ|two tigers; two rivals
両口|りょうぐち|both openings; two people; couple
両国|りょうこく|both countries
両国|りょうごく|both countries
両国|りょうごく|Ryougoku (area of Tokyo)
両国語|りょうこくご|both languages
両三日|りょうさんにち|two or three days
