無限軌道|むげんきどう|continuous track; caterpillar track
紫綬褒賞|しじゅほうしょう|Medal of Honor with Purple Ribbon (awarded for scholarly or artistic achievement)
視座|しざ|vantage point; viewpoint; standpoint; outlook
試技|しぎ|practice jump (throw, etc.)
持ち点|もちてん|points (already) allotted to one; points (already) gained (in earlier rounds)
持ち方|もちかた|way one holds (one's writing brush); how to hold (chopsticks)
時めく|ときめく|to be prosperous; to prosper; to flourish; to enjoy great prosperity
失読症|しつどくしょう|dyslexia
湿舌|しつぜつ|wet (moist) tongue
質料|しつりょう|matter (in Aristotelian philosophy)
実定法|じっていほう|positive law (i.e. law made by humans)
実包|じっぽう|ball cartridge
社訓|しゃくん|guiding precepts of a company; company credo; corporate philosophy
車前草|おおばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前草|おんばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前草|おばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前草|しゃぜんそう|plantain (esp. Asian plantain, Plantago asiatica)
大葉子|おおばこ|plantain (esp. Asian plantain, Plantago asiatica)
大葉子|おんばこ|plantain (esp. Asian plantain, Plantago asiatica)
大葉子|おばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前|おおばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前|おんばこ|plantain (esp. Asian plantain, Plantago asiatica)
車前|おばこ|plantain (esp. Asian plantain, Plantago asiatica)
オオバコ||plantain (esp. Asian plantain, Plantago asiatica)
蛇籠|じゃかご|gabion; cage filled with stones
蛇籠|じゃこ|gabion; cage filled with stones
尺取|しゃくとり|measuring worm; inchworm; looper (caterpillar)
若奥様|わかおくさま|young wife; young married woman
若奥さま|わかおくさま|young wife; young married woman
主著|しゅちょ|one's main (chief) (literary) work
取っ組み合い|とっくみあい|grapple; scuffle
守秘義務|しゅひぎむ|duty of confidentiality (concerning private matters learned through one's business)
手甲|てっこう|covering for the back of the hand and wrist
手甲|てこう|covering for the back of the hand and wrist
手っ甲|てっこう|covering for the back of the hand and wrist
手慣らし|てならし|practice; practising; exercise; training
手馴らし|てならし|practice; practising; exercise; training
手慣し|てならし|practice; practising; exercise; training
手馴し|てならし|practice; practising; exercise; training
手遊び|てすさび|diversion; pastime
種籾|たねもみ|seed rice
種もみ|たねもみ|seed rice
腫れ|はれ|swelling; boil
脹れ|はれ|swelling; boil
首投げ|くびなげ|kubinage; neck (head) throw
樹懶|なまけもの|sloth (Sth. Am. tree-dwelling mammal)
ナマケモノ||sloth (Sth. Am. tree-dwelling mammal)
習合|しゅうごう|syncretism
臭化|しゅうか|bromination
集束|しゅうそく|focusing (e.g. light); convergence
十姉妹|じゅうしまつ|Bengalese finch; society finch (Lonchura striata var. domestica)
ジュウシマツ||Bengalese finch; society finch (Lonchura striata var. domestica)
十年|じゅうねん|ten years; decade
汁椀|しるわん|soup bowl
重し|おもし|stone weight (as used on pickle-tub covers)
重し|おもし|weight (as used in balances)
重石|おもし|stone weight (as used on pickle-tub covers)
重石|おもし|weight (as used in balances)
春歌|しゅんか|bawdy song; lewd song; obscene song
初球|しょきゅう|pitcher's first pitch (to batter)
書き直し|かきなおし|rewriting; rewrite; fair copy
書見台|しょけんだい|bookrest
書痙|しょけい|writer's cramp
薯蕷|とろろ|grated yam
諸経費|しょけいひ|sundry expenses
助け合い|たすけあい|cooperation; mutual aid (help)
序二段|じょにだん|jonidan (second lowest) division
勝ち馬|かちうま|winning horse; winner
勝馬|かちうま|winning horse; winner
勝差|しょうさ|difference in wins (in number of games won)
宵待草|よいまちぐさ|evening primrose
小臼歯|しょうきゅうし|premolar (tooth)
小手投げ|こてなげ|armlock throw; forearm throw
小選挙区|しょうせんきょく|small electoral district; single-member constituency
小太鼓|こだいこ|small drum
小料理屋|こりょうりや|small restaurant; eating house
掌篇小説|しょうへんしょうせつ|short short story
消し去る|けしさる|to get rid of; to erase; to dispel; to eradicate; to wipe away
消息子|しょうそくし|probe
照葉樹林|しょうようじゅりん|evergreen (glossy-leaved) forest
醤蝦|あみ|opossum shrimp (Mysida spp.); mysid
糠蝦|あみ|opossum shrimp (Mysida spp.); mysid
アミ||opossum shrimp (Mysida spp.); mysid
常民|じょうみん|(common) people
食分|しょくぶん|phase of an eclipse
蝕分|しょくぶん|phase of an eclipse
心皮|しんぴ|carpel
振る舞い|ふるまい|behavior; behaviour; conduct
振舞い|ふるまい|behavior; behaviour; conduct
振るまい|ふるまい|behavior; behaviour; conduct
振舞|ふるまい|behavior; behaviour; conduct
新生活|しんせいかつ|new life
新卒|しんそつ|new (recent) graduate
新入り|しんいり|newcomer; initiate; rookie
新譜|しんぷ|newly-released music album
新譜|しんぷ|new piece of music
新例|しんれい|new example (precedent)
深読み|ふかよみ|reading too much into (what ... says)
真皮|しんぴ|true (inner) skin; corium; derma; cutis
真鶴|まなづる|white-naped crane (Grus vipio)
真名鶴|まなづる|white-naped crane (Grus vipio)
マナヅル||white-naped crane (Grus vipio)
秦皮|とねりこ|ash tree (Fraxinus mandshurica)
梣|とねりこ|ash tree (Fraxinus mandshurica)
人定|じんてい|confirmation of somebody's identity
人定|じんてい|enactment; establishment; creation
腎盂|じんう|renal pelvis
酢味噌|すみそ|vinegared miso
図学|ずがく|graphics
吹き付け|ふきつけ|spraying
水桶|みずおけ|pail (for water); bucket
水桶|みずおけ|cistern; water tank
水おけ|みずおけ|pail (for water); bucket
水おけ|みずおけ|cistern; water tank
酔い|よい|drunkenness; intoxication
酔い|よい|motion sickness; travel sickness
酔い|えい|drunkenness; intoxication
酔い|えい|motion sickness; travel sickness
錐揉み|きりもみ|tailspin; spin
錐揉み|きりもみ|drilling; boring
錐もみ|きりもみ|tailspin; spin
錐もみ|きりもみ|drilling; boring
きり揉み|きりもみ|tailspin; spin
きり揉み|きりもみ|drilling; boring
髄膜|ずいまく|meninges
数え方|かぞえかた|counting system; way (manner) of counting
数表|すうひょう|table (of logarithms)
据え付け|すえつけ|installation; setting; fitting; mounting
据付|すえつけ|installation; setting; fitting; mounting
性科学|せいかがく|sexology
成り上がり|なりあがり|upstart; parvenu; jumped-up person
成上り|なりあがり|upstart; parvenu; jumped-up person
晴れて|はれて|openly; publicly; in public
生り|なり|bearing (fruit)
生野菜|なまやさい|fresh vegetables
聖女|せいじょ|saint; holy woman
製麺|せいめん|noodle making
青み|あおみ|blueness; greenness; tinge of blue (green)
青味|あおみ|blueness; greenness; tinge of blue (green)
税収入|ぜいしゅうにゅう|tax revenue; tax revenues
惜しくも|おしくも|to one's regret; regrettably; to one's chagrin
積み出し|つみだし|shipment; forwarding
積層|せきそう|laminating; lamination layer
赤鼻|あかはな|red nose
切に|せつに|eagerly; earnestly; ardently
舌苔|ぜったい|fur (on one's tongue)
舌平目|したびらめ|sole (esp. the tonguefishes of family Cynoglossidae, but also the true soles of family Soleidae)
舌平目|したびらめ|red tonguesole (Cynoglossus joyneri)
舌鮃|したびらめ|sole (esp. the tonguefishes of family Cynoglossidae, but also the true soles of family Soleidae)
舌鮃|したびらめ|red tonguesole (Cynoglossus joyneri)
シタビラメ||sole (esp. the tonguefishes of family Cynoglossidae, but also the true soles of family Soleidae)
シタビラメ||red tonguesole (Cynoglossus joyneri)
先史|せんし|prehistory
尖頭|せんとう|point; pointed end; cusp
せん頭|せんとう|point; pointed end; cusp
川舟|かわぶね|riverboat; rivercraft
川船|かわぶね|riverboat; rivercraft
河船|かわぶね|riverboat; rivercraft
河船|かせん|riverboat; rivercraft
扇状|せんじょう|fan form (shape)
船会社|ふながいしゃ|steamship (shipping) company
前宣伝|まえせんでん|advance publicity
前轍|ぜんてつ|wheel tracks left by vehicles that have passed before
然らば|しからば|if so; if it be so; in that case; then
全高|ぜんこう|overall height; distance from the ground to the highest point of an object
全問|ぜんもん|all the questions (in exam)
早くも|はやくも|already; as early as
早指し|はやざし|quick game of shogi
槍烏賊|やりいか|spear squid (Loligo bleekeri)
ヤリイカ||spear squid (Loligo bleekeri)
草餅|くさもち|rice-flour dumplings mixed with mugwort
草餠|くさもち|rice-flour dumplings mixed with mugwort
蒼鉛|そうえん|bismuth
走禽類|そうきんるい|cursorial birds; runners
走力|そうりょく|running ability
送り出し|おくりだし|pushing (propelling) (one's opponent) out of the ring from behind
他人様|ひとさま|other people; others
人様|ひとさま|other people; others
人さま|ひとさま|other people; others
多め|おおめ|somewhat larger quantity; larger portion
多目|おおめ|somewhat larger quantity; larger portion
体毛|たいもう|body hair
対極|たいきょく|antipodes
対極|たいきょく|other (opposite) extreme; opposite; antithesis
帯広告|おびこうこく|strip of paper featuring advertisements, wrapped around a book's jacket
帯番組|おびばんぐみ|radio or television program broadcast in the same time slot on all or most days (programme)
怠け癖|なまけぐせ|habit of idleness (laziness); indolence
怠けぐせ|なまけぐせ|habit of idleness (laziness); indolence
退室|たいしつ|exit from a room
大それた|だいそれた|outrageous; monstrous; appalling; inordinate; overambitious
大安売り|おおやすうり|special bargain sale
大軍|たいぐん|large (big) army
大仕事|おおしごと|big job; great task
大所帯|おおじょたい|large family
大代表|だいだいひょう|main (switchboard) number; main telephone (phone) number
大納会|だいのうかい|last session (trading day, trading) of the year
大発会|だいはっかい|first session (trading day) of the year
大発生|だいはっせい|explosive increase (in number of pests); (severe) outbreak or upsurge of pests
卓袱台|ちゃぶだい|low dining table; tea table
ちゃぶ台|ちゃぶだい|low dining table; tea table
チャブ台|チャブだい|low dining table; tea table
叩き込み|はたきこみ|slapdown
はたき込み|はたきこみ|slapdown
奪い合い|うばいあい|scramble (for)
